,Unnamed: 0,h_t,d_t,cloud,ISCCP,h_t_next,d_t_next,cloud_next,ISCCP_next,dh,dd,bincenter_h,bincenter_d
49900,49900,913.0959062876047,-0.065741899947766,cloud,2.0,633.7709736642951,1.025862035538064,cloud,2.0,-279.3249326233097,1.09160393548583,1000.0,0
50013,50013,996.3618870678696,-0.0135828685278842,cloud,2.0,787.8869997037248,1.8020729711967536,cloud,5.0,-208.47488736414482,1.8156558397246378,1000.0,0
50033,50033,1071.6909608871033,-0.0483476839492553,cloud,2.0,735.3974352269036,0.1910068535133077,cloud,2.0,-336.29352566019975,0.23935453746256302,1000.0,0
52060,52060,1098.7145205597758,0.036686891574484,cloud,2.0,661.0711796596727,1.1740120255090132,cloud,2.0,-437.6433409001031,1.1373251339345292,1000.0,0
52226,52226,936.958199041772,0.0655862898653337,cloud,2.0,698.5167539041831,0.6386628270811769,cloud,2.0,-238.44144513758886,0.5730765372158433,1000.0,0
52431,52431,1011.5828102152408,-0.0532261242151174,cloud,2.0,8144.371011236682,1.8467296191282296,cloud,7.0,7132.788201021441,1.899955743343347,1000.0,0
52921,52921,893.3376462876297,0.1483068075558277,cloud,2.0,1031.9455070257625,0.225732001482851,cloud,2.0,138.60786073813279,0.0774251939270233,1000.0,0
53392,53392,1021.7300881936324,0.1210069404394784,cloud,2.0,1001.003367195391,1.0863215267460946,cloud,2.0,-20.726720998241376,0.9653145863066162,1000.0,0
53566,53566,1092.825816067222,-0.1367047321681915,cloud,2.0,2097.2472439686903,1.2387570212363417,cloud,3.0,1004.4214279014684,1.3754617534045332,1000.0,0
54551,54551,936.9491382308892,0.130399475855817,cloud,2.0,1004.855939862784,1.1811248863924906,cloud,2.0,67.90680163189484,1.0507254105366737,1000.0,0
55904,55904,884.5433554595559,0.0271156511875507,cloud,2.0,158.1626028128421,0.9707584562572992,cloud,2.0,-726.3807526467137,0.9436428050697485,1000.0,0
56337,56337,913.2957626556912,-0.1306662211728176,cloud,2.0,10539.588459539344,0.6438464099018695,cloud,4.0,9626.292696883653,0.774512631074687,1000.0,0
56548,56548,943.5365843252364,0.1049648066227378,cloud,2.0,845.2255973675159,0.6081334047846308,cloud,2.0,-98.3109869577205,0.5031685981618931,1000.0,0
57909,57909,1092.6836628196882,0.0519536850193337,cloud,2.0,2466.055077222858,0.3943389055840494,cloud,3.0,1373.3714144031699,0.34238522056471565,1000.0,0
58864,58864,851.9411314809196,-0.0165663439076754,cloud,2.0,792.8458674897959,0.6203930713185967,cloud,2.0,-59.095263991123716,0.6369594152262721,1000.0,0
60421,60421,969.8364047248548,-0.1267215828564808,cloud,2.0,699.520292883028,0.4116128963704959,cloud,2.0,-270.3161118418268,0.5383344792269767,1000.0,0
60473,60473,914.6053779190156,-0.0810212611489646,cloud,2.0,252.7788339958428,0.7925480527477144,cloud,2.0,-661.8265439231728,0.873569313896679,1000.0,0
63015,63015,1143.5518550258646,0.079900604308411,cloud,2.0,6675.386396922231,-0.0765609806552328,cloud,3.0,5531.834541896366,-0.15646158496364382,1000.0,0
63240,63240,1085.9873032524065,0.1095431995666135,cloud,2.0,1958.3038509100984,1.1095957753136427,cloud,2.0,872.3165476576919,1.0000525757470293,1000.0,0
63526,63526,1148.1132671513594,0.1165521516571899,cloud,2.0,9140.915954718505,0.7381395610227495,cloud,4.0,7992.802687567145,0.6215874093655596,1000.0,0
63727,63727,1108.514209378126,0.1495454845446341,cloud,2.0,908.3931275264508,0.1561593120837714,cloud,2.0,-200.12108185167517,0.006613827539137307,1000.0,0
64145,64145,855.845126092935,0.0350579469226692,cloud,2.0,233.74914872081703,1.9942615825865075,cloud,5.0,-622.0959773721179,1.9592036356638383,1000.0,0
64418,64418,1002.646614329474,0.0519589496380841,cloud,2.0,4045.067332343177,0.4506631286353411,cloud,3.0,3042.4207180137028,0.39870417899725696,1000.0,0
65963,65963,904.0628367726677,0.0384324271471916,cloud,2.0,727.2933594583753,-0.5873354443668622,cloud,2.0,-176.76947731429232,-0.6257678715140539,1000.0,0
67525,67525,1012.8787304788308,0.0928005947571739,cloud,2.0,1018.0226554374132,0.2023810195774011,cloud,2.0,5.1439249585823745,0.1095804248202272,1000.0,0
67643,67643,1109.4121986167231,-0.078893651159523,cloud,2.0,1356.3777377039594,0.4576896495595101,cloud,2.0,246.96553908723627,0.536583300719033,1000.0,0
69281,69281,1065.7160580516272,0.0777486465006387,cloud,2.0,1224.9588280583732,0.9515914759571048,cloud,2.0,159.242770006746,0.8738428294564661,1000.0,0
69413,69413,1121.3535889839045,-0.0982329954459544,cloud,2.0,556.221809930326,2.424689889051515,cloud,5.0,-565.1317790535785,2.5229228844974694,1000.0,0
69683,69683,959.3438438318942,-0.1171155322207898,cloud,2.0,4306.187813814043,1.2811012552905072,cloud,6.0,3346.8439699821483,1.398216787511297,1000.0,0
72960,72960,1123.7413851816164,-0.0500949480348311,cloud,2.0,3687.187318225651,0.5794108018173392,cloud,3.0,2563.4459330440345,0.6295057498521702,1000.0,0
74553,74553,992.4181977411214,0.0828414268131301,cloud,2.0,851.1569517132547,1.5581262676900565,cloud,5.0,-141.26124602786672,1.4752848408769264,1000.0,0
75024,75024,933.1651751977632,0.0143502667959733,cloud,2.0,8964.422712551434,-0.7542740030493669,cloud,4.0,8031.25753735367,-0.7686242698453402,1000.0,0
75476,75476,1083.8662269792806,0.0249415855762028,cloud,2.0,7355.567104089117,1.0612223458375951,cloud,3.0,6271.700877109836,1.0362807602613924,1000.0,0
76226,76226,892.6280165687749,0.1369773544869966,cloud,2.0,898.8208010456962,0.0040718249994627,cloud,2.0,6.192784476921247,-0.1329055294875339,1000.0,0
76227,76227,898.8208010456962,0.0040718249994627,cloud,2.0,1232.2126509474183,2.6014573455127024,cloud,5.0,333.39184990172214,2.5973855205132397,1000.0,0
76399,76399,959.6063431118996,0.0553364260349636,cloud,2.0,513.3350227959857,-0.4213600137447607,cloud,2.0,-446.27132031591395,-0.47669643977972426,1000.0,0
76933,76933,1019.3390403978948,0.0273611334187293,cloud,2.0,1365.4853174097295,-1.3749060572803449,cloud,2.0,346.14627701183474,-1.4022671906990742,1000.0,0
77494,77494,1005.458258116982,-0.0309752229704642,cloud,2.0,1144.6284017783075,0.2203529516070176,cloud,2.0,139.17014366132548,0.2513281745774818,1000.0,0
77945,77945,1041.157059802351,0.1168823376532302,cloud,2.0,1647.3767319880271,1.1883900084268495,cloud,2.0,606.2196721856762,1.0715076707736193,1000.0,0
80477,80477,937.5307628953,-0.1229014246765562,cloud,2.0,161.29641558095872,1.6541508553028297,cloud,5.0,-776.2343473143412,1.777052279979386,1000.0,0
80705,80705,977.804927692199,0.0361152148171715,cloud,2.0,7812.00952250559,1.4819881414186875,cloud,6.0,6834.204594813391,1.445872926601516,1000.0,0
80980,80980,1089.0669073488043,-0.0682117744030375,cloud,2.0,2290.5703130696565,0.7008352900136136,cloud,3.0,1201.5034057208522,0.769047064416651,1000.0,0
81462,81462,1094.028467469377,0.1340478249051232,cloud,2.0,6122.202483090708,0.730434887241513,cloud,3.0,5028.174015621331,0.5963870623363897,1000.0,0
82063,82063,985.7427757341578,-0.0540673560382931,cloud,2.0,2944.152255886313,-0.026224020113288,cloud,3.0,1958.409480152155,0.0278433359250051,1000.0,0
82992,82992,1026.9219317741731,-0.1140612107623259,cloud,2.0,595.4694025008083,-0.4069126991715975,cloud,2.0,-431.4525292733648,-0.2928514884092716,1000.0,0
83045,83045,951.674763330667,0.1149902360592936,cloud,2.0,1201.976603846292,2.095543266966388,cloud,5.0,250.30184051562492,1.9805530309070942,1000.0,0
83697,83697,1111.263876704315,-0.0524965381147425,cloud,2.0,67.8232116941541,0.7154372156758095,cloud,2.0,-1043.440665010161,0.7679337537905521,1000.0,0
83912,83912,1020.5813798722496,0.1169571807362894,cloud,2.0,851.607373318685,1.023789257048089,cloud,2.0,-168.97400655356466,0.9068320763117997,1000.0,0
84048,84048,911.9276108120688,-0.029449989172299,cloud,2.0,270.1791996301506,1.6092221408118232,cloud,5.0,-641.7484111819182,1.6386721299841223,1000.0,0
85466,85466,991.9477139089696,-0.0596593749255347,cloud,2.0,6018.728592785318,0.0978651777450321,cloud,3.0,5026.780878876349,0.1575245526705668,1000.0,0
85566,85566,1020.6194977165432,-0.1209754732475431,cloud,2.0,6826.23013763423,1.2500694275522313,cloud,3.0,5805.610639917687,1.3710449007997743,1000.0,0
85760,85760,1145.7734565658322,0.1014918224282308,cloud,2.0,1491.488105526202,1.886252080209464,cloud,5.0,345.7146489603697,1.7847602577812332,1000.0,0
85769,85769,1057.5660778274166,0.1382254772776462,cloud,2.0,1665.0410247499228,0.655788834017889,cloud,2.0,607.4749469225062,0.5175633567402428,1000.0,0
85878,85878,1002.11842526007,0.08622310704543,cloud,2.0,2251.1699525429567,0.2604429007605459,cloud,3.0,1249.0515272828866,0.17421979371511587,1000.0,0
88044,88044,1121.5490663791943,0.0029760839234631,cloud,2.0,163.80427285812442,1.6879985575669536,cloud,5.0,-957.7447935210698,1.6850224736434904,1000.0,0
88815,88815,868.2991697728501,-0.0927206600399059,cloud,2.0,500.193367140494,1.2476846769534256,cloud,2.0,-368.1058026323561,1.3404053369933315,1000.0,0
89497,89497,1049.4623040752776,-0.0819440999655072,cloud,2.0,1494.9124815066589,0.4447369513224579,cloud,2.0,445.45017743138123,0.526681051287965,1000.0,0
89980,89980,918.4949195525558,-0.068322357307927,cloud,2.0,164.46514105357957,-0.2730568904859684,cloud,2.0,-754.0297784989762,-0.20473453317804136,1000.0,0
